number,prime
1,1
2,1
3,1
4,0
5,1
7,1
11,1
13,1
17,1
19,1
23,1
29,1
31,1
37,1
41,1
43,1
47,1
53,1
59,1
61,1
67,1
71,1
73,1
79,1
83,1
89,1
97,1
101,1
103,1
107,1
109,1
113,1
127,1
131,1
137,1
139,1
149,1
151,1
157,1
163,1
167,1
173,1
179,1
181,1
191,1
193,1
197,1
199,1
211,1
223,1
227,1
229,1
233,1
239,1
241,1
251,1
257,1
263,1
269,1
271,1
277,1
281,1
283,1
293,1
307,1
311,1
313,1
317,1
331,1
337,1
347,1
349,1
353,1
359,1
367,1
373,1
379,1
383,1
389,1
397,1
401,1
409,1
419,1
421,1
431,1
433,1
439,1
443,1
449,1
457,1
461,1
463,1
467,1
479,1
487,1
491,1
499,1
503,1
509,1
521,1
523,1
541,1
547,1
557,1
563,1
